NUMERO_FACTURA|ID_CONTRATO|VALOR_FACTURADO|FECHA_MAX_PAGO|FECHA_FACTURACION|FECHA_CORTE|CICLO_FACTURACION|CUENTA
001-230-005739867|117860200138407572|21.85|18/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8554970743
001-230-005744108|110430200138312570|20.93|14/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8554922200
001-230-005741618|120070200138428596|16.1|14/07/2025 00:00:00|06/07/2025 21:39:26|06/07/2025 00:00:00|26|8555038234
001-230-005740102|105540200138418091|20.7|18/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8555033046
001-230-005747202|103320200138413879|118.29|14/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8554970923
001-230-005741356|117910200138423656|23.23|18/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8555041104
001-230-005747955|116310200138431828|20.43|14/07/2025 00:00:00|06/07/2025 21:39:23|06/07/2025 00:00:00|26|8555048287
001-230-005747254|116820200138391810|18.63|14/07/2025 00:00:00|06/07/2025 21:39:30|06/07/2025 00:00:00|26|8554969378
001-230-005739655|105010200138436159|27.83|18/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8555033410
001-230-005744577|108270200138425735|18.4|14/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8555047126
001-230-005736802|113490200138439360|20.93|14/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8555034528
001-230-005739871|106070200138429036|17.46|14/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8555031254
001-230-005739163|112690200138433334|23.0|18/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8555040331
001-230-005749700|102680200138448701|16.1|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555054601
001-230-005743355|122640200138453852|18.4|14/07/2025 00:00:00|06/07/2025 21:39:19|06/07/2025 00:00:00|26|8555040740
001-230-005739267|126030200138439974|12.65|18/07/2025 00:00:00|06/07/2025 21:39:17|06/07/2025 00:00:00|26|8555053522
001-230-005737930|112590200138460954|19.55|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555055417
001-230-005739421|106860200138454732|16.1|14/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8555031881
001-230-005746764|109600200138430660|22.19|18/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8555035263
001-230-005746256|110200200138495137|20.7|18/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8555016155
001-230-005746794|122540200138493176|21.85|18/07/2025 00:00:00|06/07/2025 21:39:17|06/07/2025 00:00:00|26|8554998154
001-230-005745080|108780200138471902|27.6|14/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8555057200
001-230-005746276|109670200138477392|25.3|18/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8555076168
001-230-005741125|105140200138472073|16.1|14/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8555063140
001-230-005741704|121300200138530286|20.7|14/07/2025 00:00:00|06/07/2025 21:39:08|06/07/2025 00:00:00|26|8555087004
001-230-005746833|123810200138585978|11.5|14/07/2025 00:00:00|06/07/2025 21:39:31|06/07/2025 00:00:00|26|8555128072
001-230-005746357|108200200138471695|18.63|14/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8555066132
001-230-005738534|112800200138527890|24.38|18/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8555062925
001-230-005747829|117110200138521228|24.38|18/07/2025 00:00:00|06/07/2025 21:39:33|06/07/2025 00:00:00|26|8555028102
001-230-005741754|121250200138514832|23.23|14/07/2025 00:00:00|06/07/2025 21:39:07|06/07/2025 00:00:00|26|8555074709
001-230-005747371|103450200138503897|18.63|14/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8555059468
001-230-005738633|110950200138539033|20.7|18/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8554994242
001-230-005737729|126050200138511472|27.83|18/07/2025 00:00:00|06/07/2025 21:39:17|06/07/2025 00:00:00|26|8555019126
001-230-005741783|119960200138564889|22.19|18/07/2025 00:00:00|06/07/2025 21:39:25|06/07/2025 00:00:00|26|8555011119
001-230-005744558|122730200138503252|16.1|14/07/2025 00:00:00|06/07/2025 21:39:20|06/07/2025 00:00:00|26|8555062447
001-230-005742174|121110200138506615|20.93|14/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8555069518
001-230-005737326|127490200138563956|28.75|18/07/2025 00:00:00|06/07/2025 21:39:31|06/07/2025 00:00:00|26|8554997154
001-230-005739824|105430200138535441|15.18|18/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8555022220
001-230-005747797|114770200138539607|20.7|18/07/2025 00:00:00|06/07/2025 21:39:09|06/07/2025 00:00:00|26|8554976136
001-230-005744951|107470200138528107|21.85|18/07/2025 00:00:00|06/07/2025 21:38:58|06/07/2025 00:00:00|26|8554993141
001-230-005739570|105920200138532209|20.7|18/07/2025 00:00:00|06/07/2025 21:38:56|06/07/2025 00:00:00|26|8554995227
001-230-005741905|105080200138571745|21.85|18/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8554998273
001-230-005743966|108620200138538800|24.15|18/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8554977251
001-230-005742269|106390200138555358|19.66|18/07/2025 00:00:00|06/07/2025 21:38:58|06/07/2025 00:00:00|26|8555019147
001-230-005737737|126170200138534415|25.53|18/07/2025 00:00:00|06/07/2025 21:39:19|06/07/2025 00:00:00|26|8554998211
001-230-005738994|127130200138537866|16.1|14/07/2025 00:00:00|06/07/2025 21:39:28|06/07/2025 00:00:00|26|8555080276
001-230-005741195|105420200138575507|23.23|18/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8554994295
001-230-005740649|119090200138531781|15.18|18/07/2025 00:00:00|06/07/2025 21:39:14|06/07/2025 00:00:00|26|8555028107
001-230-005748863|115760200138544171|23.23|18/07/2025 00:00:00|06/07/2025 21:39:18|06/07/2025 00:00:00|26|8554941131
001-230-005749285|117070200138543917|20.93|14/07/2025 00:00:00|06/07/2025 21:39:32|06/07/2025 00:00:00|26|8555088381
001-230-005746303|109730200138538689|12.65|18/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8554998223
001-230-005740686|121210200138734878|23.0|18/07/2025 00:00:00|06/07/2025 21:39:07|06/07/2025 00:00:00|26|8555184240
001-230-005740234|106180200138513794|18.63|14/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8555056753
001-230-005750103|116980200138554902|18.4|14/07/2025 00:00:00|06/07/2025 21:39:31|06/07/2025 00:00:00|26|8555095294
001-230-005737130|127030200138542508|23.23|18/07/2025 00:00:00|06/07/2025 21:39:26|06/07/2025 00:00:00|26|8555007133
001-230-005742667|119510200136253426|43.7|18/07/2025 00:00:00|06/07/2025 21:39:19|06/07/2025 00:00:00|26|8554053735
001-230-005746462|124330200138575265|12.65|18/07/2025 00:00:00|06/07/2025 21:39:34|06/07/2025 00:00:00|26|8554993167
001-230-005737742|126480200138539985|13.8|14/07/2025 00:00:00|06/07/2025 21:39:21|06/07/2025 00:00:00|26|8555089230
001-230-005745057|124650200138547816|16.1|14/07/2025 00:00:00|06/07/2025 21:39:37|06/07/2025 00:00:00|26|8555091392
001-230-005740816|119540200138540848|13.8|18/07/2025 00:00:00|06/07/2025 21:39:20|06/07/2025 00:00:00|26|8555010245
001-230-005736813|126770200138517444|18.4|14/07/2025 00:00:00|06/07/2025 21:39:24|06/07/2025 00:00:00|26|8555078707
001-230-005744168|125000200138510094|18.63|14/07/2025 00:00:00|06/07/2025 21:39:40|06/07/2025 00:00:00|26|8555079032
001-230-005750206|101920200136402234|18.63|14/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8554217825
001-230-005746198|107330200138531324|21.85|18/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8554971149
001-230-005750188|101500200138542006|23.0|18/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8555027102
001-230-005749967|102480200138542659|24.38|18/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8554993151
001-230-005742360|105330200138553866|18.63|14/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8555100434
001-230-005740882|120180200138535371|27.83|18/07/2025 00:00:00|06/07/2025 21:39:28|06/07/2025 00:00:00|26|8555025099
001-230-005747666|102730200138573892|20.7|18/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555012286
001-230-005745115|109520200138559459|20.7|18/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8555003139
001-230-005736848|126820200138560580|42.53|14/07/2025 00:00:00|06/07/2025 21:39:24|06/07/2025 00:00:00|26|8555084685
001-230-005738771|111540200138563011|16.1|14/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8555083690
001-230-005747085|116000200138551033|11.73|14/07/2025 00:00:00|06/07/2025 21:39:20|06/07/2025 00:00:00|26|8555097358
001-230-005736803|113490200138564549|23.0|18/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8555002152
001-230-005740113|105160200138586351|14.26|14/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8555123145
001-230-005736174|111950200138531940|23.0|18/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8555028108
001-230-005748814|115500200138581380|23.23|14/07/2025 00:00:00|06/07/2025 21:39:16|06/07/2025 00:00:00|26|8555112083
001-230-005745905|122420200138565007|11.73|14/07/2025 00:00:00|06/07/2025 21:39:16|06/07/2025 00:00:00|26|8555080843
001-230-005749524|102520200138556169|23.0|18/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8555015260
001-230-005745401|109430200138555637|25.3|18/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555025111
001-230-005739090|113070200138554763|18.63|14/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8555097457
001-230-005749028|115310200138560953|23.23|18/07/2025 00:00:00|06/07/2025 21:39:15|06/07/2025 00:00:00|26|8555025115
001-230-005738315|112580200138568656|11.73|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555092847
001-230-005742908|118840200138567837|20.7|18/07/2025 00:00:00|06/07/2025 21:39:11|06/07/2025 00:00:00|26|8555015283
001-230-005750300|102100200138535200|21.85|18/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8555004123
001-230-005738697|113710200138552282|20.12|14/07/2025 00:00:00|06/07/2025 21:39:07|06/07/2025 00:00:00|26|8555104302
001-230-005746590|109150200138553420|21.85|18/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555024108
001-230-005746750|122210200138553090|18.63|14/07/2025 00:00:00|06/07/2025 21:39:14|06/07/2025 00:00:00|26|8555091449
001-230-005745095|109210200138555448|12.65|18/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555001265
001-230-005749066|116830200138556995|11.73|14/07/2025 00:00:00|06/07/2025 21:39:30|06/07/2025 00:00:00|26|8555087559
